RealSense_frame,Vicon_frame,Vicon_timestamp,Tray:Corner1_X,Tray:Corner1_Y,Tray:Corner1_Z,Tray:Corner2_X,Tray:Corner2_Y,Tray:Corner2_Z,Tray:Corner3_X,Tray:Corner3_Y,Tray:Corner3_Z,Tray:Corner4_X,Tray:Corner4_Y,Tray:Corner4_Z,RightHand1:Wrist1_X,RightHand1:Wrist1_Y,RightHand1:Wrist1_Z,RightHand1:Wrist2_X,RightHand1:Wrist2_Y,RightHand1:Wrist2_Z,RightHand1:Wrist3_X,RightHand1:Wrist3_Y,RightHand1:Wrist3_Z,RightHand1:Thumb1_X,RightHand1:Thumb1_Y,RightHand1:Thumb1_Z,RightHand1:Thumb2_X,RightHand1:Thumb2_Y,RightHand1:Thumb2_Z,RightHand1:Thumb3_X,RightHand1:Thumb3_Y,RightHand1:Thumb3_Z,RightHand1:IndexFinger1_X,RightHand1:IndexFinger1_Y,RightHand1:IndexFinger1_Z,RightHand1:IndexFinger2_X,RightHand1:IndexFinger2_Y,RightHand1:IndexFinger2_Z,RightHand1:IndexFinger3_X,RightHand1:IndexFinger3_Y,RightHand1:IndexFinger3_Z,Realsense:Camera1_X,Realsense:Camera1_Y,Realsense:Camera1_Z,Realsense:Camera2_X,Realsense:Camera2_Y,Realsense:Camera2_Z,Realsense:Camera3_X,Realsense:Camera3_Y,Realsense:Camera3_Z,LeftHand1:IndexFinger1_X,LeftHand1:IndexFinger1_Y,LeftHand1:IndexFinger1_Z,LeftHand1:IndexFinger2_X,LeftHand1:IndexFinger2_Y,LeftHand1:IndexFinger2_Z,LeftHand1:IndexFinger3_X,LeftHand1:IndexFinger3_Y,LeftHand1:IndexFinger3_Z,LeftHand1:Thumb1_X,LeftHand1:Thumb1_Y,LeftHand1:Thumb1_Z,LeftHand1:Thumb2_X,LeftHand1:Thumb2_Y,LeftHand1:Thumb2_Z,LeftHand1:Thumb3_X,LeftHand1:Thumb3_Y,LeftHand1:Thumb3_Z,LeftHand1:Wrist1_X,LeftHand1:Wrist1_Y,LeftHand1:Wrist1_Z,LeftHand1:Wrist2_X,LeftHand1:Wrist2_Y,LeftHand1:Wrist2_Z,LeftHand1:Wrist3_X,LeftHand1:Wrist3_Y,LeftHand1:Wrist3_Z,LeftHand1:Wrist4_X,LeftHand1:Wrist4_Y,LeftHand1:Wrist4_Z
00074_color_1715718753.361646.png,701,1715718753.359941,209.533829,-140.240311,749.868103,441.773834,-136.01062,750.162292,455.160583,-356.545258,749.585388,218.078934,-370.394836,746.006287,612.614685,849.895508,1050.815186,614.095337,912.970886,1035.265991,657.920593,894.897522,1061.171021,663.211731,827.211304,1052.127075,663.042236,791.655212,1046.505127,647.712585,758.768005,1049.127686,593.601746,778.998169,1048.889893,583.949402,755.755493,1038.078979,578.994446,728.748779,1023.433228,308.101379,937.345337,1497.373413,253.897461,930.190308,1512.350342,202.861664,947.568848,1491.32605,114.889595,9.260711,762.426575,144.03656,0.15178,755.843262,165.137924,-4.52923,750.330139,33.74725,-9.519358,762.962646,56.348503,-32.506721,757.443604,81.034538,-51.918224,752.476135,74.046608,34.662933,773.337097,72.700401,67.993889,764.848389,32.149887,58.799999,774.168945,-31.923737,64.398727,789.365662
00075_color_1715718753.395632.png,705,1715718753.3999412,192.851227,-139.809357,749.599182,425.052002,-135.274399,750.001892,438.744843,-355.818878,749.51062,201.663589,-370.023285,745.697449,611.038879,839.09259,1058.327026,616.349426,901.815674,1042.337402,658.670105,881.568481,1069.143677,661.125488,812.918823,1060.348633,656.749939,781.243164,1052.973511,642.93335,746.038879,1058.064819,588.360168,770.483887,1055.884644,577.477173,746.38678,1045.467896,571.704407,719.236755,1030.745483,308.108429,937.359497,1497.383179,253.895782,930.191833,1512.356567,202.865799,947.567017,1491.352539,114.83226,9.238923,762.408752,143.955551,-0.273102,756.097168,165.061539,-4.437884,750.229431,33.680622,-9.553926,762.896912,56.290771,-32.565094,757.441406,80.999237,-51.958557,752.473083,73.974892,34.491283,773.227051,72.624306,67.591164,764.650452,32.181839,58.386768,774.201965,-31.909294,64.275009,789.34906
00076_color_1715718753.429837.png,708,1715718753.4299412,179.79393,-139.182114,749.406738,412.05011,-134.803375,749.925903,425.59552,-355.277802,749.374512,188.511276,-369.35202,745.473389,610.301086,833.493958,1063.73291,618.871277,896.11499,1047.693604,660.462524,873.444458,1075.128906,659.37677,804.909912,1066.694458,654.653992,767.70459,1061.154663,637.921753,738.856873,1064.836548,584.495544,766.31488,1061.89978,572.639221,742.392822,1051.27771,565.556824,715.782654,1036.914551,308.102051,937.358826,1497.381714,253.899185,930.186768,1512.352539,202.864853,947.571228,1491.334961,114.790016,9.234374,762.375488,143.916565,-0.271083,756.066162,165.067535,-4.404886,750.252319,33.664188,-9.617385,762.899841,56.262875,-32.578804,757.423767,80.977081,-51.9888,752.456299,74.024818,34.385704,773.259644,72.727295,67.643127,764.764648,32.15276,58.414055,774.191284,-31.904842,64.255264,789.400269
00077_color_1715718753.465936.png,712,1715718753.4699411,162.307037,-137.770737,749.08136,394.51358,-134.166595,749.858887,407.411102,-354.804321,749.176758,170.244095,-368.00116,745.179443,610.464233,828.355591,1070.615601,623.6474,890.21051,1054.062744,663.300537,865.368042,1082.134155,657.866943,796.958191,1074.333252,651.728577,761.111572,1069.058228,633.29541,732.19397,1072.514893,581.360718,761.890198,1068.216187,567.998535,739.205505,1057.624268,559.673828,712.710815,1043.12793,308.106842,937.350037,1497.376099,253.906036,930.187195,1512.349976,202.859634,947.561584,1491.34375,114.747902,9.26853,762.419312,143.961685,0.048653,755.835876,165.059036,-4.518842,750.334778,33.671547,-9.540741,762.784668,56.278633,-32.473129,757.32428,81.007843,-52.053799,752.493958,74.008835,34.381966,773.266907,72.718803,67.62545,764.753174,32.195572,58.404209,774.201965,-31.829313,64.298706,789.505371
00078_color_1715718753.500029.png,715,1715718753.499941,148.978455,-136.670807,748.785217,381.215393,-133.913116,749.675293,393.247833,-354.522552,749.100403,156.117844,-366.776245,744.916199,611.297241,825.492065,1074.878296,627.512878,887.700439,1059.264648,666.068298,860.526733,1087.253418,657.323792,792.433167,1079.14856,650.67926,756.690613,1073.675537,631.580017,728.163757,1077.10083,579.096313,760.190979,1071.419678,565.682739,737.586121,1060.057129,556.78717,711.521118,1045.185059,308.103333,937.356812,1497.367188,253.908936,930.176453,1512.351929,202.835846,947.612976,1491.256714,114.56675,9.314217,762.434021,143.808792,0.228459,755.82312,164.85051,-4.497297,750.249329,33.556278,-9.519825,762.812683,56.188416,-32.418301,757.346313,80.930016,-52.006081,752.542969,73.817406,34.430099,773.300171,72.581924,67.671196,764.810791,32.083298,58.41983,774.20636,-31.890259,64.346497,789.553589
00079_color_1715718753.534526.png,718,1715718753.529941,135.395142,-135.352173,748.59021,367.574127,-133.563797,749.608765,378.79541,-354.156799,748.956726,141.631744,-365.661774,744.618408,612.151367,823.949036,1078.739014,632.816284,885.989685,1064.248779,669.391052,856.743408,1092.734741,657.188049,789.15094,1083.81958,649.663818,753.740967,1078.186646,629.883057,725.634277,1081.312622,577.683594,759.30896,1072.833374,563.550598,737.328247,1061.019897,554.1698,711.852051,1045.437256,308.098877,937.353333,1497.367188,253.900528,930.190857,1512.350342,202.858994,947.568359,1491.349731,114.447853,9.355418,762.427429,143.629379,-0.45914,756.175171,164.711105,-4.649148,750.334229,33.46241,-9.420384,762.865845,56.089626,-32.326271,757.44928,80.946892,-51.936737,752.695374,73.746567,34.202297,773.068176,72.572433,67.339409,764.542786,32.003006,58.453804,774.232849,-31.973007,64.441895,789.644958
00080_color_1715718753.569156.png,722,1715718753.569941,116.697945,-134.179321,748.226624,348.858582,-133.082291,749.454102,359.347443,-353.793945,748.748047,122.113945,-364.38736,744.283752,614.946106,821.977478,1081.7323,641.515869,884.41095,1070.274658,675.157288,852.140503,1099.362915,657.416748,783.546082,1089.297852,648.682983,750.654846,1083.938599,627.886902,723.490417,1086.595703,576.991394,759.798401,1074.325073,561.418823,739.515808,1061.409912,550.803772,714.973755,1045.311646,308.101959,937.359253,1497.367554,253.899155,930.1922,1512.343506,202.862869,947.565186,1491.330078,114.345627,9.427329,762.443359,143.508087,-0.412916,756.195312,164.618988,-5.230445,750.680298,33.411934,-9.392454,762.957458,56.084473,-32.133816,757.644653,81.14576,-51.682144,752.983032,73.659874,34.268299,773.091492,72.370964,67.539185,764.610657,31.980476,58.536396,774.254517,-31.959955,64.521645,789.726685
00081_color_1715718753.603381.png,725,1715718753.599941,102.251762,-133.412521,747.916077,334.502563,-132.736404,749.197327,344.58551,-353.4841,748.543518,107.347824,-363.683105,743.988586,618.495728,820.551575,1083.674316,649.420288,881.750671,1073.133179,680.601501,847.669678,1102.79126,658.825684,780.034607,1092.667725,649.01001,747.938232,1087.785645,626.862732,721.449829,1090.050781,577.574097,760.314636,1074.900146,561.057373,741.129395,1061.492188,549.7547,717.211182,1044.848877,308.109802,937.358521,1497.369629,253.904663,930.189392,1512.34436,202.863617,947.564575,1491.339233,114.318031,9.421017,762.429504,143.460052,-0.424369,756.168457,164.574905,-5.263955,750.675598,33.416065,-9.339812,762.993225,56.148453,-31.996719,757.764893,81.37468,-51.454128,753.137634,73.557594,34.53194,773.3302,72.406548,67.790939,764.848022,31.972929,58.560436,774.290161,-31.945501,64.609703,789.778381
00082_color_1715718753.637860.png,729,1715718753.6399412,83.791855,-132.33255,747.531189,316.051422,-132.35611,748.846313,325.412598,-353.036865,748.406189,88.176964,-362.578308,743.560852,624.959045,815.255493,1084.835327,660.049194,874.724487,1075.296143,688.758423,838.659302,1105.191528,662.979858,772.586853,1094.680542,651.38092,739.077515,1088.761963,628.348083,715.361633,1091.875,580.914978,757.148376,1074.746826,563.575745,739.167603,1060.831787,551.22052,716.108765,1043.593018,308.09668,937.352844,1497.362671,253.903275,930.190186,1512.352417,202.871796,947.550476,1491.319214,114.202698,9.495257,762.476074,143.377594,-0.357142,756.178223,164.470367,-4.711834,750.363953,33.353451,-9.241176,763.118835,56.132923,-31.841955,758.095947,81.602928,-51.185345,753.689453,73.475441,34.614117,773.338562,72.352264,67.886566,764.87146,31.958599,58.615017,774.307312,-31.971737,64.81501,789.85083
00083_color_1715718753.671711.png,732,1715718753.6699412,69.870598,-132.020813,747.340515,302.140869,-131.839783,748.647156,311.627258,-352.690338,748.194458,74.269379,-362.287384,743.385376,630.336792,808.324707,1084.783447,667.523193,866.547913,1075.733154,694.684021,829.452393,1105.615356,666.878174,763.954041,1094.086548,654.509216,731.298096,1088.384521,630.655396,708.04718,1091.201538,584.658813,750.842651,1073.249023,567.003296,733.490967,1058.882568,554.522644,710.857971,1041.085693,308.090332,937.364136,1497.36377,253.901779,930.197327,1512.348267,202.860229,947.562256,1491.316895,114.079941,9.584506,762.542725,143.200775,0.122398,755.948669,164.326187,-5.213751,750.669189,33.244072,-9.132134,763.284058,56.121239,-31.713646,758.363098,81.601257,-50.970879,754.176697,73.400635,34.477135,773.124878,72.372917,67.549217,764.535706,31.87751,58.736664,774.311157,-32.031639,64.988693,789.891479
