RealSense_frame,Vicon_frame,Vicon_timestamp,RightHand1:Wrist1_X,RightHand1:Wrist1_Y,RightHand1:Wrist1_Z,RightHand1:Wrist2_X,RightHand1:Wrist2_Y,RightHand1:Wrist2_Z,RightHand1:Wrist3_X,RightHand1:Wrist3_Y,RightHand1:Wrist3_Z,RightHand1:Thumb1_X,RightHand1:Thumb1_Y,RightHand1:Thumb1_Z,RightHand1:Thumb2_X,RightHand1:Thumb2_Y,RightHand1:Thumb2_Z,RightHand1:Thumb3_X,RightHand1:Thumb3_Y,RightHand1:Thumb3_Z,RightHand1:IndexFinger1_X,RightHand1:IndexFinger1_Y,RightHand1:IndexFinger1_Z,RightHand1:IndexFinger2_X,RightHand1:IndexFinger2_Y,RightHand1:IndexFinger2_Z,RightHand1:IndexFinger3_X,RightHand1:IndexFinger3_Y,RightHand1:IndexFinger3_Z,Realsense:Camera1_X,Realsense:Camera1_Y,Realsense:Camera1_Z,Realsense:Camera2_X,Realsense:Camera2_Y,Realsense:Camera2_Z,Realsense:Camera3_X,Realsense:Camera3_Y,Realsense:Camera3_Z,LeftHand1:IndexFinger1_X,LeftHand1:IndexFinger1_Y,LeftHand1:IndexFinger1_Z,LeftHand1:IndexFinger2_X,LeftHand1:IndexFinger2_Y,LeftHand1:IndexFinger2_Z,LeftHand1:IndexFinger3_X,LeftHand1:IndexFinger3_Y,LeftHand1:IndexFinger3_Z,LeftHand1:Thumb1_X,LeftHand1:Thumb1_Y,LeftHand1:Thumb1_Z,LeftHand1:Thumb2_X,LeftHand1:Thumb2_Y,LeftHand1:Thumb2_Z,LeftHand1:Thumb3_X,LeftHand1:Thumb3_Y,LeftHand1:Thumb3_Z,LeftHand1:Wrist1_X,LeftHand1:Wrist1_Y,LeftHand1:Wrist1_Z,LeftHand1:Wrist2_X,LeftHand1:Wrist2_Y,LeftHand1:Wrist2_Z,LeftHand1:Wrist3_X,LeftHand1:Wrist3_Y,LeftHand1:Wrist3_Z,LeftHand1:Wrist4_X,LeftHand1:Wrist4_Y,LeftHand1:Wrist4_Z,Cup:Corner1_X,Cup:Corner1_Y,Cup:Corner1_Z,Cup:Corner2_X,Cup:Corner2_Y,Cup:Corner2_Z,Cup:Corner3_X,Cup:Corner3_Y,Cup:Corner3_Z,Cup:Corner4_X,Cup:Corner4_Y,Cup:Corner4_Z,Cup:Corner5_X,Cup:Corner5_Y,Cup:Corner5_Z,Cup:Corner6_X,Cup:Corner6_Y,Cup:Corner6_Z,Cup:Corner7_X,Cup:Corner7_Y,Cup:Corner7_Z,Cup:Corner8_X,Cup:Corner8_Y,Cup:Corner8_Z
00066_color_1715716980.043599.png,871,1715716980.0440948,674.084839,1165.139771,1039.539429,645.540039,1230.980225,1029.529907,692.825256,1222.567505,1059.846313,729.522766,1162.904053,1043.646484,743.71521,1127.219238,1037.561035,742.939514,1090.283691,1033.773193,683.260254,1092.196777,1036.756592,680.561096,1064.955444,1026.651855,682.294312,1037.99646,1012.270813,302.485352,934.8797,1496.483154,248.67189,928.875732,1512.143311,198.230484,945.381409,1491.686401,161.811569,238.830154,761.715027,190.092377,251.00386,756.101257,210.366974,260.6091,751.909546,110.857574,171.237503,762.001709,143.366425,169.25563,756.863647,176.283859,173.084564,751.216858,115.82196,233.019867,772.492004,93.310394,256.035431,763.609375,69.187859,224.940536,774.508606,12.125769,196.414413,789.420532,493.993439,-406.258972,833.929688,484.762878,-347.436157,833.809998,543.008972,-345.751862,835.026428,542.602295,-403.430206,833.326416,480.687317,-333.327576,738.673035,551.832581,-338.356384,738.300171,546.936829,-405.725311,737.581238,482.729614,-408.020264,738.487549
00067_color_1715716980.078048.png,874,1715716980.0740948,677.278687,1154.974976,1033.972656,652.018616,1222.225708,1024.619629,699.069153,1211.157471,1054.612915,732.789551,1150.051636,1037.748535,745.629639,1113.463623,1031.061279,742.953247,1076.960571,1026.967163,683.907776,1081.214478,1029.709473,679.422119,1054.621704,1019.624023,679.572632,1027.852783,1005.017639,302.488129,934.890503,1496.503052,248.670914,928.881775,1512.160156,198.222275,945.405701,1491.696655,161.782211,238.7966,761.725159,190.075378,250.978851,756.107544,210.339905,260.616669,751.915161,110.858681,171.240921,761.998779,143.364471,169.255234,756.860046,176.296478,173.070938,751.224548,115.843597,232.946121,772.406555,93.297241,256.012177,763.611023,69.176918,224.877121,774.514648,12.141218,196.322479,789.404114,493.989624,-406.261993,833.937988,484.764069,-347.452576,833.829041,543.003601,-345.764618,835.042297,542.601257,-403.431458,833.329712,480.700439,-333.338623,738.670715,551.823975,-338.369232,738.310608,546.933838,-405.705017,737.584534,482.72464,-408.016388,738.493958
00068_color_1715716980.112131.png,878,1715716980.114095,682.156311,1137.915161,1022.708801,660.620361,1206.838867,1015.121338,706.742737,1192.582397,1045.066162,736.705933,1129.703369,1026.939331,747.422485,1092.649048,1019.564392,742.62323,1056.171143,1014.772644,682.808411,1064.430298,1017.974365,678.218445,1038.01062,1006.350891,676.786804,1011.794556,990.961365,302.487915,934.895508,1496.497803,248.672195,928.880066,1512.148071,198.236694,945.405457,1491.687378,161.790314,238.845963,761.749695,190.095108,251.014679,756.110474,210.346161,260.642426,751.916931,110.878738,171.248901,761.977478,143.386292,169.264511,756.844299,176.315216,173.120392,751.225037,115.801353,232.997025,772.491394,93.27951,256.020325,763.606873,69.172432,224.901123,774.499329,12.17545,196.261047,789.377197,494.003113,-406.267334,833.924011,484.769226,-347.443359,833.821411,543.006409,-345.75705,835.030151,542.602417,-403.435913,833.322632,480.709137,-333.315399,738.689087,551.827454,-338.36676,738.297668,546.940247,-405.706085,737.572998,482.740814,-408.048218,738.480713
00069_color_1715716980.146239.png,881,1715716980.144095,685.240723,1122.323364,1013.9245,666.800049,1192.262451,1006.757385,712.246826,1175.843262,1036.530396,739.620667,1112.277222,1017.676331,749.158569,1074.723633,1009.698853,742.833496,1038.704834,1004.350647,684.798767,1048.675781,1007.153137,677.566406,1023.155823,995.821716,675.206665,997.19519,979.879395,302.498657,934.917297,1496.516602,248.136932,926.88092,1511.704224,198.206238,945.428955,1491.703125,161.783615,238.859711,761.762878,190.096405,251.03656,756.115723,210.345764,260.654358,751.931091,110.905678,171.224396,761.960938,143.389481,169.275208,756.847046,176.339584,173.150131,751.233459,115.845772,233.077362,772.535034,93.283813,256.015045,763.613281,69.158714,224.862747,774.510376,12.18728,196.167023,789.398499,493.995239,-406.235199,833.937317,484.765411,-347.438721,833.824036,543.001587,-345.750336,835.029053,542.603882,-403.426056,833.331177,480.703888,-333.306732,738.695801,551.825256,-338.3414,738.312195,546.945618,-405.712555,737.586487,482.735321,-408.026123,738.508423
00070_color_1715716980.180061.png,885,1715716980.184095,690.864075,1097.552246,1001.359558,674.190186,1168.425171,996.040161,719.2005,1149.732056,1025.209473,744.252502,1085.44397,1004.709961,752.429932,1047.862427,995.839966,744.339294,1012.422058,990.062073,686.968506,1024.249146,993.357788,678.439575,999.354004,981.691467,675.021057,973.891785,965.234558,302.477234,934.918884,1496.506958,248.12793,926.879822,1511.68396,198.20369,945.430237,1491.687988,161.76445,238.866104,761.751892,190.084793,251.042633,756.121399,210.343735,260.647675,751.927124,110.892136,171.255051,761.96283,143.391983,169.288132,756.855652,176.34053,173.1772,751.236389,115.819695,233.058304,772.506409,93.272881,256.023621,763.609131,69.140259,224.81868,774.481934,12.184162,196.052063,789.389587,493.980652,-406.253479,833.928101,484.75296,-347.442657,833.81604,542.998047,-345.755402,835.03656,542.60083,-403.423676,833.322021,480.716522,-333.304749,738.692383,551.82074,-338.366669,738.301697,546.945496,-405.7117,737.572693,482.741455,-408.046204,738.491882
00071_color_1715716980.214337.png,888,1715716980.2140949,694.781555,1076.385376,993.860901,680.422852,1147.351196,989.510742,724.271057,1127.610229,1018.22522,747.877014,1063.251953,996.333557,754.863953,1025.637817,986.819519,746.124939,990.425476,980.589172,689.289246,1003.338806,984.8125,680.000732,978.887695,972.854553,675.928284,953.639832,956.03772,302.596252,936.108215,1497.082275,248.525604,928.862549,1512.382935,198.217758,945.415955,1491.690918,161.78656,238.894547,761.777771,190.080368,251.063324,756.130676,210.339676,260.666534,751.934204,110.920181,171.250336,761.957153,143.414383,169.298126,756.849548,176.361801,173.213364,751.239807,115.828049,233.075058,772.530823,93.278145,256.013763,763.615906,69.139023,224.802322,774.485718,12.19943,196.01416,789.395264,494.001801,-406.256866,833.945251,484.760071,-347.436768,833.829163,542.988342,-345.732239,835.048279,542.604004,-403.426422,833.344238,480.709503,-333.373718,738.643372,551.825684,-338.335266,738.323486,546.944214,-405.703583,737.592102,482.7341,-408.001831,738.513977
00072_color_1715716980.248575.png,891,1715716980.2440948,698.344299,1053.682861,989.030212,685.464661,1124.979004,985.648315,729.06189,1103.726807,1013.76355,751.149963,1039.257446,990.625183,757.301147,1001.646545,980.555542,747.784851,966.674988,973.655762,691.092834,980.988403,979.226074,680.815308,956.938049,967.332214,676.438599,931.935974,949.861206,302.606049,936.04364,1497.058594,248.532257,928.975159,1512.378296,198.215454,945.437134,1491.69165,161.779984,238.880722,761.764404,190.072845,251.0513,756.129211,210.334442,260.666962,751.930176,110.910316,171.23671,761.945923,143.411728,169.309174,756.834595,176.365524,173.212769,751.239075,115.792511,232.981308,772.409546,93.278091,256.020477,763.609558,69.125061,224.787796,774.460449,12.197073,195.996017,789.361633,493.984558,-406.24939,833.932678,484.759888,-347.440521,833.823425,542.999573,-345.756104,835.027039,542.598389,-403.423492,833.334656,480.707642,-333.360779,738.644226,551.819397,-338.341858,738.315369,546.953186,-405.706299,737.595703,482.729523,-408.020508,738.504883
00073_color_1715716980.282382.png,895,1715716980.2840948,702.104797,1021.738525,987.983765,691.963501,1093.438965,985.178223,734.592773,1070.180786,1013.202637,754.204041,1005.257263,989.607483,758.602844,967.706543,979.109558,748.777405,932.734314,971.539612,692.068787,949.535645,977.300232,681.248718,925.929138,964.877625,675.465332,901.449951,947.569458,302.614166,936.229065,1497.152832,248.514328,929.112305,1512.369019,198.199219,945.446045,1491.691406,161.791473,238.876129,761.757568,190.089584,251.051331,756.127502,210.347778,260.664062,751.923584,110.89991,171.221664,761.934021,143.420197,169.28627,756.832214,176.366684,173.194458,751.223572,115.805603,232.973648,772.408813,93.261047,256.003265,763.600342,69.123627,224.778015,774.44696,12.210452,195.98761,789.351868,493.978851,-406.253845,833.952148,484.752136,-347.437775,833.829224,542.991394,-345.753204,835.039917,542.597961,-403.434967,833.338196,480.716492,-333.31955,738.699585,551.817627,-338.344635,738.316284,546.944702,-405.703094,737.592834,482.730621,-408.027313,738.510681
00074_color_1715716980.316420.png,898,1715716980.3140948,704.289062,996.879944,991.210693,696.238647,1068.765747,987.93219,737.982971,1044.491211,1016.487854,755.561401,979.128662,993.847412,759.517944,941.188904,983.277222,748.793518,906.476624,975.9646,692.338989,924.979431,980.901489,680.709473,901.71167,968.527039,674.605652,877.175659,951.273132,302.632965,936.377319,1497.204712,248.501022,929.205444,1512.355835,198.212509,945.425903,1491.680664,161.776779,238.868027,761.759033,190.077942,251.045532,756.122864,210.338913,260.657745,751.918335,110.896927,171.204559,761.923218,143.417145,169.264526,756.819214,176.368851,173.187317,751.204712,115.752686,232.980743,772.462585,93.265411,255.972443,763.588867,69.112747,224.750244,774.436462,12.19493,195.990982,789.334595,493.962219,-406.266632,833.938293,484.729767,-347.459167,833.823242,542.984619,-345.774536,835.042358,542.577637,-403.44693,833.325256,480.693939,-333.386993,738.640198,551.801941,-338.365051,738.318359,546.930542,-405.719055,737.588867,482.713165,-408.038269,738.495667
00075_color_1715716980.350698.png,902,1715716980.354095,707.172302,963.384216,999.061523,700.658142,1035.013062,993.850952,741.08252,1010.616882,1023.529053,757.981689,944.605286,1002.360596,761.4198,905.997437,992.86792,749.943054,871.494629,986.298096,693.721802,891.498657,990.761963,681.849121,868.013367,978.97876,675.169312,843.462891,962.422974,302.652283,936.500671,1497.26001,248.502747,929.222961,1512.370239,198.233398,945.447205,1491.680908,161.777786,238.857498,761.765564,190.079544,251.03479,756.131958,210.330658,260.656311,751.925049,110.896759,171.18251,761.898193,143.41597,169.252762,756.816223,176.366714,173.18251,751.223206,115.788155,232.932556,772.383911,93.340149,255.759445,763.474731,69.112892,224.726486,774.430664,12.230156,195.873489,789.36676,493.38031,-406.247925,833.934082,484.646393,-347.416656,833.830872,542.92395,-346.180664,835.062744,542.011047,-403.873474,833.324219,480.690765,-333.263489,738.684387,551.701477,-338.867493,738.313538,546.278442,-406.183563,737.594727,482.073273,-407.903412,738.530701
