RealSense_frame,Vicon_frame,Vicon_timestamp,RightHand1:Wrist1_X,RightHand1:Wrist1_Y,RightHand1:Wrist1_Z,RightHand1:Wrist2_X,RightHand1:Wrist2_Y,RightHand1:Wrist2_Z,RightHand1:Wrist3_X,RightHand1:Wrist3_Y,RightHand1:Wrist3_Z,RightHand1:Thumb1_X,RightHand1:Thumb1_Y,RightHand1:Thumb1_Z,RightHand1:Thumb2_X,RightHand1:Thumb2_Y,RightHand1:Thumb2_Z,RightHand1:Thumb3_X,RightHand1:Thumb3_Y,RightHand1:Thumb3_Z,RightHand1:IndexFinger1_X,RightHand1:IndexFinger1_Y,RightHand1:IndexFinger1_Z,RightHand1:IndexFinger2_X,RightHand1:IndexFinger2_Y,RightHand1:IndexFinger2_Z,RightHand1:IndexFinger3_X,RightHand1:IndexFinger3_Y,RightHand1:IndexFinger3_Z,Pringles:Corner1_X,Pringles:Corner1_Y,Pringles:Corner1_Z,Pringles:Corner2_X,Pringles:Corner2_Y,Pringles:Corner2_Z,Pringles:Corner3_X,Pringles:Corner3_Y,Pringles:Corner3_Z,Pringles:Corner4_X,Pringles:Corner4_Y,Pringles:Corner4_Z,Pringles:Corner5_X,Pringles:Corner5_Y,Pringles:Corner5_Z,Pringles:Corner6_X,Pringles:Corner6_Y,Pringles:Corner6_Z,Pringles:Corner7_X,Pringles:Corner7_Y,Pringles:Corner7_Z,Pringles:Corner8_X,Pringles:Corner8_Y,Pringles:Corner8_Z,LeftHand1:IndexFinger1_X,LeftHand1:IndexFinger1_Y,LeftHand1:IndexFinger1_Z,LeftHand1:IndexFinger2_X,LeftHand1:IndexFinger2_Y,LeftHand1:IndexFinger2_Z,LeftHand1:IndexFinger3_X,LeftHand1:IndexFinger3_Y,LeftHand1:IndexFinger3_Z,LeftHand1:Thumb1_X,LeftHand1:Thumb1_Y,LeftHand1:Thumb1_Z,LeftHand1:Thumb2_X,LeftHand1:Thumb2_Y,LeftHand1:Thumb2_Z,LeftHand1:Thumb3_X,LeftHand1:Thumb3_Y,LeftHand1:Thumb3_Z,LeftHand1:Wrist1_X,LeftHand1:Wrist1_Y,LeftHand1:Wrist1_Z,LeftHand1:Wrist2_X,LeftHand1:Wrist2_Y,LeftHand1:Wrist2_Z,LeftHand1:Wrist3_X,LeftHand1:Wrist3_Y,LeftHand1:Wrist3_Z,LeftHand1:Wrist4_X,LeftHand1:Wrist4_Y,LeftHand1:Wrist4_Z,Realsense:Camera1_X,Realsense:Camera1_Y,Realsense:Camera1_Z,Realsense:Camera2_X,Realsense:Camera2_Y,Realsense:Camera2_Z,Realsense:Camera3_X,Realsense:Camera3_Y,Realsense:Camera3_Z
00247_color_1715971777.989852.png,1396,1715971777.993075,674.434326,177.875977,824.136475,728.267883,231.584702,787.49823,746.987244,180.191589,797.086975,687.106506,124.030388,807.004456,661.836792,93.524506,800.210815,633.323853,71.113724,801.438843,606.303467,144.573807,837.03125,577.276917,139.897751,835.593994,548.469482,131.280807,828.013733,506.762207,-519.185303,741.47052,460.048309,-520.989563,740.236938,448.988678,-447.507904,741.480042,514.709229,-447.964569,743.913025,515.171753,-513.788574,948.054321,455.27066,-519.353577,947.599609,450.246338,-449.872589,950.475342,515.05365,-451.068695,949.349976,195.231979,62.818771,762.187561,224.957748,56.991329,755.804504,247.381699,54.000908,751.531494,114.853065,37.535854,760.74292,136.891876,16.379223,754.618408,162.848557,-2.674362,747.620178,154.914215,85.314529,773.255676,150.241547,118.093124,764.919617,113.325699,105.866219,776.562378,47.967884,110.604805,790.698975,165.696777,985.961792,1494.139404,217.814072,980.965515,1516.431641,268.708344,993.878235,1498.823608
00248_color_1715971778.024776.png,1399,1715971778.023075,674.071716,178.069672,823.482788,727.871704,231.73819,786.79126,746.775696,180.49144,796.666931,686.786621,124.276398,806.357056,661.563477,93.746521,799.580017,632.812195,71.018013,800.332825,606.007812,144.757767,836.24353,577.005859,140.053833,834.785706,548.150208,131.39949,827.163818,506.771149,-519.227417,741.46814,460.066071,-521.001221,740.235046,448.999603,-447.506744,741.497253,514.698242,-447.989929,743.91748,515.162476,-513.621948,947.981262,455.267761,-519.365601,947.609436,450.24646,-449.884552,950.473938,515.052185,-451.077148,949.357788,195.22522,62.793514,762.17981,224.967026,56.99107,755.816589,247.37262,53.958958,751.537537,114.835678,37.503445,760.748047,136.875595,16.337854,754.619629,162.8452,-2.6785,747.646667,154.869324,85.147377,773.164368,150.135483,117.853638,764.667969,113.337326,105.814941,776.591614,47.971165,110.564407,790.747803,165.684174,985.968384,1494.144043,217.81839,980.970154,1516.44043,268.70575,993.869324,1498.825195
00249_color_1715971778.060592.png,1403,1715971778.063075,673.582092,178.598831,822.593628,727.414368,232.380493,786.047302,746.286499,181.060547,795.942505,686.374634,124.849876,805.686157,661.188416,94.4039,798.944153,632.674561,71.758034,800.008179,605.576782,145.410751,835.408997,576.468018,140.692062,833.93988,547.70105,131.966599,826.425476,506.773712,-519.197754,741.463013,460.066071,-521.006775,740.241394,448.992889,-447.492828,741.491089,514.710815,-447.967865,743.914795,515.092285,-513.385437,947.888489,455.27066,-519.345154,947.596497,450.24054,-449.873016,950.479553,515.0401,-451.066345,949.361633,195.207153,62.848038,762.200745,224.945816,57.031467,755.816528,247.338074,53.997299,751.572754,114.843414,37.593281,760.834534,136.887604,16.409739,754.691528,163.091827,-2.504476,747.866882,154.89946,85.252853,773.174316,150.079498,117.741951,764.440125,113.503784,105.940826,776.749451,47.973167,110.65229,790.789185,165.702194,985.964355,1494.139771,217.81105,980.967957,1516.439819,268.706329,993.875488,1498.827759
00250_color_1715971778.095571.png,1406,1715971778.093075,673.259705,179.102478,821.986328,727.098755,232.799423,785.530945,745.860107,181.612656,795.694153,686.000366,125.311989,805.211548,660.74762,94.620537,798.378357,632.295898,72.227692,799.492432,605.28479,145.868515,834.923889,576.121094,141.209808,833.348389,547.306702,132.501694,825.762817,506.776581,-519.201477,741.450256,460.076996,-521.012024,740.234314,449.003052,-447.513519,741.492188,514.71936,-447.981567,743.935791,515.220093,-513.521179,947.872253,455.276947,-519.393127,947.589355,450.24942,-449.873718,950.505676,515.049805,-451.083893,949.368042,195.219955,62.898003,762.23761,224.939529,57.044437,755.835144,247.357025,54.018105,751.594727,114.878998,37.613014,760.864502,136.965714,16.365046,754.699097,162.678467,-2.938992,747.384949,154.930695,85.272766,773.18866,150.080246,117.727608,764.431091,113.394798,105.778824,776.550598,47.970451,110.636223,790.851318,165.722321,985.945007,1494.126709,217.811813,980.966919,1516.437134,268.707489,993.870972,1498.832886
00251_color_1715971778.130486.png,1410,1715971778.133075,672.959656,180.030609,821.311218,726.742126,233.446793,784.59314,745.457031,182.353622,794.988037,685.671326,126.103622,804.525696,660.367004,95.272064,797.985657,631.637085,72.961365,798.912476,604.959412,146.767944,834.33313,575.874878,142.124756,832.780579,546.997437,133.47049,825.317566,506.784424,-519.212463,741.459167,460.079437,-521.017456,740.239502,449.009979,-447.508789,741.49939,514.716309,-447.988007,743.908447,515.339783,-513.605591,947.822693,455.284027,-519.371033,947.593445,450.258881,-449.889465,950.477783,515.038696,-451.086914,949.363159,195.219543,62.8269,762.221924,224.939941,57.009361,755.832458,247.352402,53.986248,751.578796,114.799088,37.406952,760.702026,136.776382,16.106113,754.449341,162.654892,-3.05811,747.292236,154.926697,85.085388,773.07489,150.088821,117.634575,764.417725,113.357384,105.686447,776.583252,47.971268,110.539574,790.946289,165.718216,985.952087,1494.118286,217.816208,980.967346,1516.43457,268.718384,993.877563,1498.830933
00252_color_1715971778.165436.png,1413,1715971778.163075,672.844299,180.687332,820.772949,726.519226,233.885666,783.843933,745.147766,182.940552,794.454346,685.578857,126.810013,804.311096,660.332031,96.085899,797.999695,631.89502,73.761253,799.783142,604.736267,147.535599,833.855347,575.712952,142.779877,832.419556,546.896606,134.149399,824.998169,506.789734,-519.207031,741.446594,460.070404,-521.03418,740.224731,449.009338,-447.500458,741.497314,514.725647,-447.979218,743.917908,515.647888,-515.212952,948.445862,455.2883,-519.382629,947.58728,450.256042,-449.87854,950.476135,515.053345,-451.070526,949.36853,195.220215,62.815174,762.210632,224.945969,57.017864,755.823975,247.355652,53.976215,751.571228,114.802696,37.437996,760.725769,136.77121,16.094786,754.428711,162.646301,-3.07428,747.258606,154.935364,85.053261,773.032593,150.115875,117.59774,764.391846,113.391647,105.67981,776.619934,47.982265,110.55439,790.996826,165.714951,985.951416,1494.124756,217.816345,980.965637,1516.429199,268.712433,993.85321,1498.804688
00253_color_1715971778.200442.png,1417,1715971778.203075,672.906433,181.938873,819.978149,726.060242,234.689392,782.723938,744.764954,183.756882,793.671143,686.027283,128.242325,804.943298,661.029663,97.50106,800.602112,633.24469,75.160553,805.177734,604.945007,148.617386,834.073486,575.949402,143.765915,832.748352,547.08905,135.018616,825.533752,506.790466,-519.187744,741.454651,460.075073,-521.013367,740.225586,449.017792,-447.512024,741.492981,514.73175,-447.979431,743.91626,515.65155,-515.219055,948.442627,455.293823,-519.396484,947.589233,450.267914,-449.880554,950.474548,515.06427,-451.087036,949.341858,195.24852,62.730007,762.221436,224.967361,56.912045,755.815857,247.388184,53.928059,751.54425,114.794243,37.308502,760.693054,136.775589,15.97492,754.371033,162.644745,-3.159539,747.183533,154.991913,84.929642,773.050476,150.145432,117.466667,764.436401,113.417755,105.514862,776.720886,48.113583,110.433998,791.14978,165.701691,985.965271,1494.13855,217.812897,980.970764,1516.430054,268.711548,993.859558,1498.808105
00254_color_1715971778.235472.png,1420,1715971778.233075,673.180847,182.958984,819.738525,725.710938,234.86763,781.558594,744.548828,184.193832,793.188721,686.463684,129.237976,805.812683,661.358215,98.399323,803.127502,633.629944,76.990967,809.441162,605.280579,149.459091,834.641235,576.305725,144.69841,833.437866,547.36554,135.893234,826.403809,506.801727,-519.204163,741.45636,460.080536,-520.999695,740.230164,449.018036,-447.492432,741.488831,514.728333,-447.991547,743.900269,515.652222,-515.206543,948.441345,455.286102,-519.379456,947.591187,450.270508,-449.898956,950.463562,515.06543,-451.069794,949.354187,195.276169,62.663204,762.227661,224.9785,56.869251,755.819153,247.375793,53.866428,751.529541,114.761589,37.220966,760.644287,136.908554,16.018074,754.294006,162.653854,-3.214093,747.131592,155.017014,84.850113,773.110352,150.1642,117.266487,764.370667,113.431625,105.372452,776.812683,48.05027,110.188004,791.099487,165.703751,985.94989,1494.123779,217.809174,980.972656,1516.43103,268.709351,993.882812,1498.823364
00255_color_1715971778.270243.png,1424,1715971778.273075,673.642578,183.525299,819.786621,725.645874,234.968048,781.037537,744.498901,184.432831,792.818115,686.875488,129.798416,806.339722,661.699646,99.166092,804.605408,633.998413,78.235435,812.173584,605.72644,150.076706,835.408997,576.723755,145.372925,834.293274,547.789856,136.597214,827.210876,506.800049,-519.199097,741.452454,460.07785,-520.999268,740.23822,449.016113,-447.528168,741.469727,514.73053,-447.972565,743.913452,515.647095,-515.211853,948.43866,455.290375,-519.364014,947.586426,450.268372,-449.899231,950.469788,515.065857,-451.078857,949.359253,195.285965,62.617012,762.23822,225.003662,56.849194,755.838196,247.39093,53.866756,751.542236,114.79792,37.16217,760.649231,136.796967,15.871197,754.300049,162.669266,-3.23536,747.130615,155.102234,84.96653,773.31012,150.172867,117.293968,764.501343,113.42926,105.320282,776.928284,48.045605,110.036636,791.193237,165.725952,985.956177,1494.130615,217.800674,980.970154,1516.430298,268.706451,993.874878,1498.818726
00256_color_1715971778.305037.png,1427,1715971778.303075,673.946838,183.643219,819.910522,725.647461,235.049194,780.90918,744.503418,184.337616,792.482361,687.132141,129.896652,806.382507,661.894348,99.281136,804.834839,634.215088,78.365173,812.581787,606.053711,150.100922,835.828247,577.015503,145.411011,834.694702,548.167908,136.79921,827.640747,506.820801,-519.190063,741.450867,460.098053,-520.996033,740.226929,449.02887,-447.493896,741.496338,514.735107,-447.998962,743.904724,515.671936,-515.166016,948.416504,455.302551,-519.391541,947.579285,450.28476,-449.911194,950.463013,515.061218,-451.121399,949.34375,195.334747,62.597221,762.262329,225.036148,56.856064,755.856079,247.433624,53.845615,751.548767,114.82795,37.150532,760.694824,136.829956,15.860286,754.317749,162.712204,-2.742976,747.525146,155.08902,84.993446,773.455505,150.198715,117.272552,764.545837,113.473305,105.270088,777.006226,48.056866,109.893555,791.290344,165.703415,985.963135,1494.135376,217.804413,980.971985,1516.437256,268.699799,993.8703,1498.818848
00257_color_1715971778.340145.png,1431,1715971778.343075,674.243896,183.82457,820.008606,725.679077,235.15744,780.697815,744.538635,184.489075,792.320618,687.398865,130.039291,806.463745,662.170898,99.539276,805.197327,634.621277,78.651855,813.275635,606.312622,150.184235,836.112305,577.270386,145.507919,834.757568,548.469421,136.854874,827.57019,506.813171,-519.207703,741.445251,460.096802,-520.999268,740.2229,449.016724,-447.509644,741.492737,514.739197,-447.994659,743.906494,515.662659,-515.19281,948.424866,455.299561,-519.4021,947.582275,450.276855,-449.904297,950.476379,515.070007,-451.099548,949.352295,195.330048,62.639019,762.312744,225.013565,56.864285,755.868347,247.427811,53.870972,751.560974,114.866005,37.18858,760.748108,136.850357,15.859383,754.353333,162.746155,-3.065252,747.299744,155.087387,85.026299,773.509338,150.203369,117.221275,764.492493,113.426277,105.242432,777.111389,47.981567,109.657555,791.396667,165.697205,985.965759,1494.13147,217.806534,980.972351,1516.433105,268.708679,993.859619,1498.819946
