

Trajectories
100
,,LeftHand:Index1,,,LeftHand:Index2,,,LeftHand:Index3,,,LeftHand:Thumb1,,,LeftHand:Thumb2,,,LeftHand:Thumb3,,,LeftHand:Wrist1,,,LeftHand:Wrist2,,,LeftHand:Wrist3,,,LeftHand:Wrist4,,,Realsense:Camera1,,,Realsense:Camera2,,,Realsense:Camera3,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
13,0,1173.917725,765.185059,746.663513,1199.562622,755.099487,745.520935,1220.385132,746.359680,747.785828,1094.936768,751.783997,744.083252,1117.634521,730.850586,744.592468,1141.360718,711.337708,746.871460,1130.887451,793.210999,744.156616,1127.514404,822.211365,745.217957,1081.621338,807.119751,745.557983,1011.903137,802.278381,745.483337,1524.886963,832.499939,1709.864014,1507.052124,781.371582,1724.254028,1521.407104,727.497742,1710.604858
14,0,1173.928223,765.165405,746.660156,1199.560303,755.097656,745.515137,1220.381470,746.356323,747.795044,1094.923462,751.765381,744.073853,1117.628296,730.853699,744.599731,1141.370361,711.333923,746.866211,1130.955078,793.173828,744.122925,1127.511963,822.217346,745.227661,1081.620728,807.122192,745.552185,1011.903503,802.266541,745.484314,1524.889160,832.511902,1709.881104,1507.051880,781.374207,1724.245972,1521.409790,727.486084,1710.580688
15,0,1173.916138,765.179077,746.662292,1199.564575,755.110413,745.525146,1220.354370,746.266541,747.763672,1094.927490,751.764648,744.085754,1117.637329,730.855469,744.607971,1141.355835,711.340149,746.878113,1130.849976,793.224976,744.200378,1127.517090,822.224304,745.230408,1081.615845,807.120667,745.562805,1011.896606,802.273926,745.489502,1524.885010,832.503052,1709.877808,1507.055054,781.380310,1724.260254,1521.390503,727.524841,1710.578125
16,0,1173.925903,765.176331,746.663025,1199.554688,755.105591,745.527832,1220.354736,746.276489,747.765808,1094.931641,751.769592,744.088013,1117.637695,730.859314,744.602417,1141.360840,711.340820,746.866821,1130.863647,793.207947,744.164124,1127.502930,822.210205,745.225830,1081.621704,807.119934,745.566833,1011.888489,802.277954,745.490723,1524.885742,832.516357,1709.882324,1507.052002,781.374390,1724.252197,1521.394897,727.538086,1710.592896
17,0,1173.922119,765.186523,746.658264,1199.567749,755.105896,745.517822,1220.371338,746.354431,747.778015,1094.928955,751.778625,744.082947,1117.633179,730.857971,744.599670,1141.359985,711.337830,746.869995,1130.868286,793.178833,744.117065,1127.518555,822.225159,745.236145,1081.621338,807.129822,745.559265,1011.903259,802.272705,745.482056,1524.878662,832.507507,1709.875732,1507.049561,781.379150,1724.263672,1521.394165,727.535034,1710.601562
18,0,1173.924561,765.174377,746.652893,1199.563843,755.080200,745.506653,1220.375610,746.367676,747.783630,1094.934570,751.779663,744.074585,1117.633667,730.849304,744.599670,1141.365234,711.330872,746.857056,1130.756836,793.184448,744.135010,1127.513916,822.228516,745.233215,1081.622681,807.125488,745.555786,1011.898621,802.267639,745.481445,1524.885986,832.510864,1709.880737,1507.045410,781.376343,1724.257935,1521.411865,727.520508,1710.584351
19,0,1173.925903,765.160278,746.656738,1199.560425,755.086426,745.516479,1220.377197,746.368164,747.796753,1094.928833,751.761963,744.076965,1117.634644,730.851868,744.597717,1141.360962,711.335693,746.882751,1130.873779,793.195312,744.156799,1127.471558,822.168823,745.123169,1081.619385,807.119873,745.567261,1011.903259,802.261719,745.485901,1524.887329,832.512146,1709.878906,1507.041992,781.382874,1724.266113,1521.385498,727.522156,1710.581909
20,0,1173.921387,765.181519,746.676819,1199.556274,755.088440,745.513916,1220.368774,746.360718,747.803772,1094.921021,751.776062,744.086853,1117.629639,730.860718,744.613281,1141.356812,711.340820,746.877930,1131.065430,793.073730,744.005676,1127.510620,822.222595,745.237244,1081.622070,807.125916,745.577209,1011.901733,802.284119,745.499146,1524.877808,832.515747,1709.880005,1507.052856,781.383179,1724.260254,1521.373657,727.521057,1710.591309
21,0,1173.918091,765.178467,746.665588,1199.560425,755.105164,745.509155,1220.380737,746.372620,747.798279,1094.928589,751.790588,744.084778,1117.631592,730.861572,744.590210,1141.363525,711.331604,746.855042,1130.967285,793.149841,744.077820,1127.482544,822.167969,745.105347,1081.623413,807.129578,745.557068,1011.896484,802.278381,745.470154,1524.880249,832.505005,1709.868774,1507.057495,781.381653,1724.256592,1521.390259,727.492371,1710.584229
22,0,1173.923584,765.180115,746.663513,1199.565308,755.094482,745.513245,1220.378418,746.354553,747.794739,1094.933228,751.769348,744.075928,1117.637939,730.854858,744.596069,1141.371582,711.340942,746.870422,1130.872314,793.123718,744.067261,1127.464844,822.176514,745.122253,1081.630005,807.126892,745.554871,1011.898621,802.270752,745.479614,1524.880371,832.512268,1709.880005,1507.048706,781.384583,1724.265747,1521.384033,727.513794,1710.591431
23,0,1173.922241,765.185303,746.662109,1199.567627,755.098877,745.524658,1220.383301,746.377686,747.789001,1094.933716,751.779114,744.087585,1117.640137,730.859802,744.612000,1141.364624,711.335754,746.877319,1130.974731,793.136353,744.081726,1127.510742,822.216187,745.231812,1081.621094,807.112732,745.556885,1011.904846,802.276001,745.484131,1524.886963,832.506104,1709.876099,1507.043213,781.376282,1724.263428,1521.404053,727.526611,1710.583130
24,0,1173.917236,765.192871,746.675598,1199.554199,755.095154,745.519653,1220.374756,746.376709,747.795471,1094.921997,751.766174,744.080505,1117.628784,730.860046,744.604858,1141.360962,711.333618,746.862915,1130.852539,793.108948,744.047241,1127.507568,822.219666,745.237488,1081.627075,807.127686,745.569092,1011.891724,802.276794,745.497803,1524.884521,832.517761,1709.879517,1507.059204,781.376282,1724.255859,1521.386230,727.514832,1710.591675
25,0,1173.925293,765.178955,746.657532,1199.554810,755.100098,745.526001,1220.382568,746.365051,747.798950,1094.924561,751.772766,744.074219,1117.636597,730.850525,744.595825,1141.364380,711.337219,746.871033,1130.852051,793.117798,744.041931,1127.481445,822.178345,745.120789,1081.623535,807.129150,745.556702,1011.898621,802.276611,745.488647,1524.881714,832.511902,1709.875854,1507.051270,781.381409,1724.259521,1521.378540,727.512024,1710.587646
26,0,1173.924072,765.178955,746.670166,1199.558960,755.091064,745.518250,1220.390015,746.370117,747.809387,1094.930542,751.772644,744.076050,1117.634644,730.857910,744.607178,1141.371704,711.341125,746.876953,1130.957031,793.147095,744.076538,1127.519287,822.219177,745.220276,1081.626709,807.126953,745.556580,1011.899719,802.276733,745.482117,1524.886108,832.513367,1709.884155,1507.048462,781.384583,1724.254272,1521.397705,727.503479,1710.595215
