RealSense_frame,Vicon_frame,Vicon_timestamp,RightHand1:Wrist1_X,RightHand1:Wrist1_Y,RightHand1:Wrist1_Z,RightHand1:Wrist2_X,RightHand1:Wrist2_Y,RightHand1:Wrist2_Z,RightHand1:Wrist3_X,RightHand1:Wrist3_Y,RightHand1:Wrist3_Z,RightHand1:Thumb1_X,RightHand1:Thumb1_Y,RightHand1:Thumb1_Z,RightHand1:Thumb2_X,RightHand1:Thumb2_Y,RightHand1:Thumb2_Z,RightHand1:Thumb3_X,RightHand1:Thumb3_Y,RightHand1:Thumb3_Z,RightHand1:IndexFinger1_X,RightHand1:IndexFinger1_Y,RightHand1:IndexFinger1_Z,RightHand1:IndexFinger2_X,RightHand1:IndexFinger2_Y,RightHand1:IndexFinger2_Z,RightHand1:IndexFinger3_X,RightHand1:IndexFinger3_Y,RightHand1:IndexFinger3_Z,Realsense:Camera1_X,Realsense:Camera1_Y,Realsense:Camera1_Z,Realsense:Camera2_X,Realsense:Camera2_Y,Realsense:Camera2_Z,Realsense:Camera3_X,Realsense:Camera3_Y,Realsense:Camera3_Z,LeftHand1:IndexFinger1_X,LeftHand1:IndexFinger1_Y,LeftHand1:IndexFinger1_Z,LeftHand1:IndexFinger2_X,LeftHand1:IndexFinger2_Y,LeftHand1:IndexFinger2_Z,LeftHand1:IndexFinger3_X,LeftHand1:IndexFinger3_Y,LeftHand1:IndexFinger3_Z,LeftHand1:Thumb1_X,LeftHand1:Thumb1_Y,LeftHand1:Thumb1_Z,LeftHand1:Thumb2_X,LeftHand1:Thumb2_Y,LeftHand1:Thumb2_Z,LeftHand1:Thumb3_X,LeftHand1:Thumb3_Y,LeftHand1:Thumb3_Z,LeftHand1:Wrist1_X,LeftHand1:Wrist1_Y,LeftHand1:Wrist1_Z,LeftHand1:Wrist2_X,LeftHand1:Wrist2_Y,LeftHand1:Wrist2_Z,LeftHand1:Wrist3_X,LeftHand1:Wrist3_Y,LeftHand1:Wrist3_Z,LeftHand1:Wrist4_X,LeftHand1:Wrist4_Y,LeftHand1:Wrist4_Z,CerealBox:Corner1_X,CerealBox:Corner1_Y,CerealBox:Corner1_Z,CerealBox:Corner2_X,CerealBox:Corner2_Y,CerealBox:Corner2_Z,CerealBox:Corner3_X,CerealBox:Corner3_Y,CerealBox:Corner3_Z,CerealBox:Corner4_X,CerealBox:Corner4_Y,CerealBox:Corner4_Z,CerealBox:Corner5_X,CerealBox:Corner5_Y,CerealBox:Corner5_Z,CerealBox:Corner6_X,CerealBox:Corner6_Y,CerealBox:Corner6_Z,CerealBox:Corner7_X,CerealBox:Corner7_Y,CerealBox:Corner7_Z,CerealBox:Corner8_X,CerealBox:Corner8_Y,CerealBox:Corner8_Z
00070_color_1715713630.817180.png,773,1715713630.821143,612.991333,1087.98999,1113.677612,589.782227,1134.696533,1074.724731,634.406616,1141.006104,1107.329468,671.989075,1094.013794,1117.414307,687.802979,1057.003296,1122.275757,686.545166,1019.633423,1126.161377,644.104736,1014.767029,1115.728516,659.770325,995.571228,1095.102661,678.344238,985.913635,1071.568604,192.268723,961.659668,1491.7323,242.679794,944.960022,1511.612427,297.194702,957.135071,1495.687744,34.004353,-29.183304,761.517395,64.607048,-21.148491,755.384705,85.731056,-14.529328,750.007751,-26.364386,-86.712624,762.788879,6.060957,-94.294601,757.895691,39.867786,-97.300865,750.385681,-15.184792,-26.879011,769.872192,-34.726025,-0.701355,759.806946,-65.686066,-25.266544,766.90564,-126.640305,-41.505417,777.960632,538.765259,-340.11731,741.284607,525.179138,-424.208893,742.893066,348.490845,-407.093231,740.638062,362.96759,-322.992889,739.096558,532.618835,-336.359558,1007.97522,523.375183,-425.192322,1008.121277,347.532318,-400.750916,1004.754211,356.949585,-313.118073,1004.285828
00071_color_1715713630.851143.png,776,1715713630.851143,621.689209,1067.670776,1113.019775,597.519714,1114.702881,1074.924927,641.771057,1121.25,1107.803101,679.82959,1073.904785,1117.531616,695.627441,1036.897461,1122.375122,694.312378,999.498718,1126.22522,652.250671,994.616394,1115.676025,666.621399,973.700317,1095.642944,685.919312,966.038879,1071.645386,192.279465,961.738159,1491.75061,242.703827,945.055237,1511.646729,297.264648,957.218628,1495.728516,34.100666,-29.083559,761.571106,64.706131,-21.044285,755.445007,85.860741,-14.414176,750.018494,-26.240387,-86.693207,762.808044,6.14379,-94.294685,757.88324,40.046173,-97.208122,750.373291,-14.988831,-26.8804,769.841003,-34.611469,-0.70292,759.779175,-65.59771,-25.258575,766.893738,-126.537514,-41.558792,777.931824,537.459473,-340.176941,741.746521,524.461426,-423.78244,743.759766,347.843567,-407.209686,740.45636,361.960419,-322.943848,738.703064,530.355591,-334.808838,1008.730042,520.538818,-421.114655,1007.690552,345.171936,-399.864502,1004.377625,354.282776,-312.888,1003.417603
00072_color_1715713630.885033.png,779,1715713630.881143,628.803284,1047.840332,1115.100342,603.80542,1094.942505,1077.182495,648.086487,1101.784058,1109.967529,686.416138,1054.415283,1119.633423,702.168579,1017.449524,1124.637085,700.778564,980.230469,1128.96521,658.517395,975.744568,1118.130249,672.881226,953.843811,1098.569214,692.240784,945.802185,1074.785645,192.251221,961.745178,1491.738892,242.665085,945.068298,1511.64624,297.221008,957.298401,1495.668701,34.191189,-29.002983,761.636719,64.722778,-20.945702,755.554199,85.930634,-14.342654,750.023987,-26.212032,-86.443542,763.075928,6.483998,-94.533882,757.539612,40.192677,-97.144226,750.37207,-14.909685,-26.782694,769.916809,-34.573803,-0.669645,759.795593,-65.552773,-25.280981,766.861511,-126.447006,-41.636864,777.929382,535.184265,-338.759155,742.19635,522.437744,-422.467285,743.961975,345.746948,-407.48703,740.306396,359.365479,-323.066254,738.473511,526.799255,-333.859497,1008.691528,517.847046,-421.476776,1009.010803,342.398895,-399.665497,1004.267944,350.942596,-312.622772,1003.156433
00073_color_1715713630.918875.png,783,1715713630.921143,633.809021,1023.023987,1122.527222,609.143188,1069.431885,1083.962524,654.47522,1076.486572,1114.933228,693.556702,1028.630859,1122.865479,709.433228,991.884521,1127.284546,708.978394,954.116699,1131.45166,665.850159,949.947144,1122.242065,679.233032,927.907349,1102.202515,697.639282,920.181274,1077.545044,192.311264,961.743286,1491.761719,243.246063,947.21814,1512.425537,296.305969,957.495178,1496.413574,34.247292,-29.016289,761.663574,64.841225,-20.718105,755.739746,85.988579,-14.235044,750.112793,-26.16082,-86.453201,763.062012,6.388348,-94.454941,757.656372,40.251286,-97.138451,750.357544,-14.897247,-26.798603,769.953552,-34.569271,-0.689143,759.819763,-65.54866,-25.316313,766.88678,-126.425919,-41.776943,777.924866,530.060486,-337.47879,741.887451,518.044128,-421.341431,743.743286,341.094849,-407.477417,740.342407,354.102295,-322.98996,738.531311,522.468628,-332.379608,1008.454346,514.341187,-421.651825,1009.262573,338.236328,-399.830597,1004.371765,346.14917,-312.719147,1003.120789
00074_color_1715713630.952442.png,786,1715713630.951143,635.944153,1004.491089,1128.877075,611.172424,1052.307983,1091.311035,657.468079,1058.189941,1121.130371,695.494873,1009.176636,1128.201172,710.841309,972.13385,1131.74353,709.705505,935.029114,1135.429199,666.873047,930.667419,1126.950195,679.575806,911.831909,1105.869141,696.455994,900.646545,1081.278687,192.328537,961.717651,1491.752808,243.273911,947.36145,1512.408813,297.21048,957.857178,1496.359253,34.223541,-29.016216,761.670471,64.83078,-20.707644,755.758972,86.0373,-14.104824,750.290955,-26.185869,-86.607147,762.88916,6.470947,-94.538689,757.583496,40.250011,-97.121025,750.359192,-14.917525,-26.857603,769.930176,-34.568916,-0.72417,759.80426,-65.562431,-25.337536,766.885071,-126.419258,-41.829769,777.907166,525.820312,-337.3638,741.981567,513.59967,-421.098236,743.717773,336.718994,-407.030304,740.237305,349.934021,-322.492035,738.510376,518.014465,-332.210388,1008.581787,509.778931,-421.718903,1009.482483,333.74707,-399.37027,1004.39978,341.728851,-312.010223,1003.213379
00075_color_1715713630.986454.png,790,1715713630.991143,634.511292,982.626648,1137.962402,612.419922,1032.625122,1101.459473,659.563965,1035.4104,1131.115356,693.925476,984.019531,1138.478516,707.258728,946.089478,1141.960449,705.121033,908.757568,1144.881104,659.989197,907.448547,1136.772583,672.058838,887.23175,1115.508301,688.605347,874.283508,1091.455444,192.300934,961.751099,1491.750366,243.276123,947.545654,1512.393311,297.17627,957.993835,1496.454712,34.232552,-29.016438,761.694946,64.849609,-20.724688,755.75531,86.048851,-14.094346,750.286987,-26.200937,-86.77652,762.731262,6.40966,-94.530472,757.568054,40.262386,-97.118073,750.353455,-14.905673,-26.840313,769.958374,-34.549431,-0.732715,759.815613,-65.573189,-25.372976,766.900452,-126.405243,-41.863911,777.907715,519.150391,-337.999115,741.848328,506.314941,-421.73819,743.522217,329.576233,-406.195129,740.265442,343.315765,-321.841095,738.375732,511.55484,-332.654266,1008.637756,502.42041,-422.137207,1009.316772,326.657227,-398.407684,1004.20929,335.362885,-311.414551,1003.084167
00076_color_1715713631.019749.png,793,1715713631.021143,632.560913,967.227661,1143.49353,612.730408,1018.682373,1107.735474,660.231934,1019.103271,1137.362915,691.957397,965.996399,1145.009399,702.521484,928.077026,1148.942749,698.522522,890.924622,1151.903076,654.584351,890.615295,1142.348267,665.186768,869.843994,1121.875488,681.125793,855.917603,1097.851562,192.346588,961.761108,1491.762207,243.312546,947.62146,1512.391479,297.187408,957.993225,1496.596558,34.260975,-28.99062,761.73407,64.982613,-20.449045,756.079224,86.023491,-14.205953,750.145752,-26.185902,-86.766273,762.711731,6.256978,-94.272255,757.847778,40.305588,-97.108871,750.353149,-14.874237,-26.815683,770.014587,-34.507717,-0.700806,759.845581,-65.55938,-25.353912,766.907227,-126.394691,-41.879322,777.930237,513.234192,-338.824249,741.700073,500.003876,-422.040375,743.505859,323.448395,-405.497742,740.122131,337.770264,-321.280487,738.421692,505.836792,-332.895844,1008.74353,495.719269,-421.587616,1009.010559,320.515686,-398.034485,1004.131104,329.65155,-310.981567,1002.994324
00077_color_1715713631.053663.png,796,1715713631.051143,631.475708,951.808472,1147.383667,613.476135,1004.458435,1112.347046,659.967773,1007.483704,1139.298096,690.752869,948.282043,1148.136963,700.613464,909.822083,1151.168457,694.716431,873.153625,1154.239136,650.161621,874.361084,1145.509155,659.231506,853.19397,1124.897827,674.446289,838.280823,1100.337646,192.357834,961.748718,1491.752197,243.298584,947.612549,1512.391968,296.203918,957.48877,1496.673706,34.298058,-28.94384,761.755981,64.97023,-20.496201,755.961182,86.019348,-14.210405,750.047119,-26.112362,-86.772697,762.739807,6.404222,-94.385582,757.692688,40.375187,-97.069244,750.35376,-14.835438,-26.777508,770.047974,-34.508488,-0.703122,759.852661,-65.523323,-25.377817,766.913086,-126.342476,-41.909866,777.969177,506.980408,-338.541595,741.892212,493.306427,-422.145508,743.616699,316.806427,-405.034973,739.936157,331.374146,-320.70517,738.39209,499.077454,-333.391327,1008.771667,488.949951,-422.189056,1009.041931,313.660248,-397.603546,1003.958557,323.052826,-310.751038,1002.994873
00078_color_1715713631.087410.png,800,1715713631.091143,631.701111,930.431885,1148.66748,615.09845,985.225281,1115.221436,662.096313,982.322144,1143.084961,689.482117,924.791504,1147.821533,697.885559,885.73822,1149.943848,690.050537,849.905518,1152.895996,644.403076,852.74823,1145.939087,651.740112,831.093628,1124.697632,664.817322,815.392395,1099.520874,192.339828,961.763062,1491.765381,243.311783,947.604614,1512.389893,297.097107,957.958313,1496.605591,34.413113,-28.704845,762.043579,65.042503,-20.480213,755.941345,86.102646,-14.164407,750.069397,-25.985867,-86.822823,762.697144,6.44149,-94.419365,757.625732,40.498436,-97.028305,750.322693,-14.77093,-26.790163,770.087341,-34.410122,-0.723806,759.885681,-65.449638,-25.466793,766.956116,-126.23867,-42.078018,777.989685,497.517273,-338.700897,741.995178,483.906647,-421.969635,743.634888,307.479065,-404.582855,739.740234,322.180634,-320.164673,738.253296,488.962219,-334.226288,1008.610596,479.324554,-423.015198,1009.274109,303.683075,-397.322754,1003.700256,313.388184,-310.469391,1002.80835
00079_color_1715713631.121349.png,803,1715713631.121143,630.650391,916.055481,1147.559082,615.923279,971.914917,1114.779541,662.700195,967.193054,1142.38623,687.901978,908.02417,1146.066528,695.24353,868.182556,1147.119995,685.974365,832.988586,1150.505127,640.438416,837.757141,1144.040161,645.650696,815.890869,1123.003662,657.820374,799.847046,1097.651123,192.3582,961.764038,1491.758667,243.322433,947.606262,1512.390991,296.204742,957.495056,1496.681885,34.395542,-28.50552,762.282532,65.015594,-20.463348,755.952515,86.080452,-14.164268,750.086975,-25.995136,-86.836403,762.68512,6.492802,-94.497269,757.53949,40.484318,-97.042313,750.339233,-14.765317,-26.830099,770.089111,-34.420753,-0.749316,759.89032,-65.468224,-25.505322,766.969238,-126.255753,-42.151196,778.005554,490.350067,-338.09967,742.200256,476.357513,-421.779572,743.65155,299.962799,-404.10672,739.530396,314.764404,-319.814301,738.067078,481.238922,-333.614136,1009.043701,471.159729,-421.934296,1009.078247,295.916504,-396.962189,1003.493774,305.686249,-310.041718,1002.695557
